source,target,IP,ad,val,id
0,54,106.122.252.2,oversea.xdwscache.speedcdns.com,1,106.122.252.2-oversea.xdwscache.speedcdns.com
0,55,106.122.252.2,oversea.xdwscache.mwcdns.com,1,106.122.252.2-oversea.xdwscache.mwcdns.com
0,56,106.122.252.2,gae.xdwscache.ourglb0.com,4,106.122.252.2-gae.xdwscache.ourglb0.com
0,57,106.122.252.2,bilibili.xdwscache.ourglb0.com,1,106.122.252.2-bilibili.xdwscache.ourglb0.com
0,58,106.122.252.2,bbk.xdwscache.speedcdns.com,1,106.122.252.2-bbk.xdwscache.speedcdns.com
0,59,106.122.252.2,trs.xdwscache.ourwebpic.com,1,106.122.252.2-trs.xdwscache.ourwebpic.com
0,60,106.122.252.2,meituvideo.xdwscache.ourglb0.com,1,106.122.252.2-meituvideo.xdwscache.ourglb0.com
61,62,106.74.156.36,mfs.ykimg.com.w.kunlunar.com,60,106.74.156.36-mfs.ykimg.com.w.kunlunar.com
61,63,106.74.156.36,mp3file1.mafengwo.net.w.kunlunea.com,41,106.74.156.36-mp3file1.mafengwo.net.w.kunlunea.com
61,64,106.74.156.36,mr3.doubanio.com.w.kunlunea.com,47,106.74.156.36-mr3.doubanio.com.w.kunlunea.com
61,65,106.74.156.36,p.qingting.fm.m.alikunlun.com,29,106.74.156.36-p.qingting.fm.m.alikunlun.com
61,66,106.74.156.36,p3-xg.pstatp.com.w.kunlungr.com,60,106.74.156.36-p3-xg.pstatp.com.w.kunlungr.com
61,67,106.74.156.36,pay2.qingting.fm.m.alikunlun.com,28,106.74.156.36-pay2.qingting.fm.m.alikunlun.com
61,68,106.74.156.36,photocdn.sohu.com.w.kunlunar.com,51,106.74.156.36-photocdn.sohu.com.w.kunlunar.com
61,69,106.74.156.36,pic.hualongxiang.com.m.alikunlun.com,23,106.74.156.36-pic.hualongxiang.com.m.alikunlun.com
61,70,106.74.156.36,pic.xiami.net.danuoyi.tbcache.com,51,106.74.156.36-pic.xiami.net.danuoyi.tbcache.com
61,71,106.74.156.36,pic1.zhimg.com.w.alikunlun.com,49,106.74.156.36-pic1.zhimg.com.w.alikunlun.com
61,72,106.74.156.36,pic2.zhimg.com.w.alikunlun.com,50,106.74.156.36-pic2.zhimg.com.w.alikunlun.com
61,73,106.74.156.36,pic3.zhimg.com.w.alikunlun.com,49,106.74.156.36-pic3.zhimg.com.w.alikunlun.com
61,74,106.74.156.36,pic4.zhimg.com.w.alikunlun.com,49,106.74.156.36-pic4.zhimg.com.w.alikunlun.com
